sweep: 528 runs total → bench/results.csv [device=cuda]
[120/528] p2 × adamw × lr=0.003 × seed=2
[121/528] p2 × yogi × lr=0.0001 × seed=0
[122/528] p2 × yogi × lr=0.0001 × seed=1
[123/528] p2 × yogi × lr=0.0001 × seed=2
[124/528] p2 × yogi × lr=0.0003 × seed=0
[125/528] p2 × yogi × lr=0.0003 × seed=1
[126/528] p2 × yogi × lr=0.0003 × seed=2
[127/528] p2 × yogi × lr=0.001 × seed=0
[128/528] p2 × yogi × lr=0.001 × seed=1
[129/528] p2 × yogi × lr=0.001 × seed=2
[130/528] p2 × yogi × lr=0.003 × seed=0
[131/528] p2 × yogi × lr=0.003 × seed=1
[132/528] p2 × yogi × lr=0.003 × seed=2
[133/528] p2 × lion × lr=1e-05 × seed=0
[134/528] p2 × lion × lr=1e-05 × seed=1
[135/528] p2 × lion × lr=1e-05 × seed=2
[136/528] p2 × lion × lr=3e-05 × seed=0
[137/528] p2 × lion × lr=3e-05 × seed=1
[138/528] p2 × lion × lr=3e-05 × seed=2
[139/528] p2 × lion × lr=0.0001 × seed=0
[140/528] p2 × lion × lr=0.0001 × seed=1
[141/528] p2 × lion × lr=0.0001 × seed=2
[142/528] p2 × lion × lr=0.0003 × seed=0
[143/528] p2 × lion × lr=0.0003 × seed=1
[144/528] p2 × lion × lr=0.0003 × seed=2
[145/528] p2 × liger × lr=1e-05 × seed=0
[146/528] p2 × liger × lr=1e-05 × seed=1
[147/528] p2 × liger × lr=1e-05 × seed=2
[148/528] p2 × liger × lr=3e-05 × seed=0
[149/528] p2 × liger × lr=3e-05 × seed=1
[150/528] p2 × liger × lr=3e-05 × seed=2
[151/528] p2 × liger × lr=0.0001 × seed=0
[152/528] p2 × liger × lr=0.0001 × seed=1
[153/528] p2 × liger × lr=0.0001 × seed=2
[154/528] p2 × liger × lr=0.0003 × seed=0
[155/528] p2 × liger × lr=0.0003 × seed=1
[156/528] p2 × liger × lr=0.0003 × seed=2
[157/528] p2 × muogi × lr=3e-05 × seed=0
[158/528] p2 × muogi × lr=3e-05 × seed=1
[159/528] p2 × muogi × lr=3e-05 × seed=2
[160/528] p2 × muogi × lr=0.0001 × seed=0
[161/528] p2 × muogi × lr=0.0001 × seed=1
[162/528] p2 × muogi × lr=0.0001 × seed=2
[163/528] p2 × muogi × lr=0.0003 × seed=0
[164/528] p2 × muogi × lr=0.0003 × seed=1
[165/528] p2 × muogi × lr=0.0003 × seed=2
[166/528] p2 × muogi × lr=0.001 × seed=0
[167/528] p2 × muogi × lr=0.001 × seed=1
[168/528] p2 × muogi × lr=0.001 × seed=2
[169/528] p2 × ramuogi × lr=3e-05 × seed=0
[170/528] p2 × ramuogi × lr=3e-05 × seed=1
[171/528] p2 × ramuogi × lr=3e-05 × seed=2
[172/528] p2 × ramuogi × lr=0.0001 × seed=0
[173/528] p2 × ramuogi × lr=0.0001 × seed=1
[174/528] p2 × ramuogi × lr=0.0001 × seed=2
[175/528] p2 × ramuogi × lr=0.0003 × seed=0
[176/528] p2 × ramuogi × lr=0.0003 × seed=1
[177/528] p2 × ramuogi × lr=0.0003 × seed=2
[178/528] p2 × ramuogi × lr=0.001 × seed=0
[179/528] p2 × ramuogi × lr=0.001 × seed=1
[180/528] p2 × ramuogi × lr=0.001 × seed=2
[181/528] p2 × racaso × lr=3e-05 × seed=0
[182/528] p2 × racaso × lr=3e-05 × seed=1
[183/528] p2 × racaso × lr=3e-05 × seed=2
[184/528] p2 × racaso × lr=0.0001 × seed=0
[185/528] p2 × racaso × lr=0.0001 × seed=1
[186/528] p2 × racaso × lr=0.0001 × seed=2
